timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
168,0.5293,0.5209,0.5056,0.5028,0.4846,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5049
169,0.5293,0.5209,0.5056,0.5028,0.5196,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5084
170,0.5293,0.5209,0.5056,0.5028,0.5196,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5084
171,0.5293,0.5209,0.5056,0.5028,0.5279,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5092
172,0.5293,0.5209,0.5056,0.5028,0.5279,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5092
173,0.5293,0.5209,0.5056,0.5028,0.5279,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5092
174,0.5293,0.5209,0.5056,0.5028,0.5279,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5092
175,0.5293,0.5209,0.5056,0.5028,0.5279,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5092
176,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
177,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
178,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
179,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
180,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
181,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
182,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
183,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
184,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
185,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
186,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
187,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
188,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
189,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
190,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
191,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
192,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
193,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
194,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
195,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
196,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
