timestamp,legacy_rtl81397,legacy_rtl81399,legacy_rtl81393,legacy_rtl81395,legacy_rtl81391,legacy_rtl81394,legacy_rtl81396,legacy_rtl81390,legacy_rtl81392,max,min,avg
159,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
160,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5238
161,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5238
162,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5238
163,0.5596,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5243
164,0.5596,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5243
165,0.5631,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5247
166,0.5631,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5247
167,0.5631,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5247
168,0.5631,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4533,0.565,0.5977,0.4459,0.5247
169,0.5631,0.5537,0.4459,0.5327,0.56,0.6012,0.4505,0.4533,0.565,0.6012,0.4459,0.525
170,0.5631,0.5537,0.4459,0.5327,0.5635,0.6012,0.4505,0.6051,0.565,0.6051,0.4459,0.5423
171,0.5631,0.5537,0.4459,0.5327,0.5635,0.6048,0.4505,0.6051,0.565,0.6051,0.4459,0.5427
172,0.5631,0.5537,0.4459,0.5327,0.5635,0.6048,0.4505,0.6051,0.565,0.6051,0.4459,0.5427
173,0.5631,0.5537,0.4459,0.5327,0.567,0.6048,0.4505,0.6051,0.565,0.6051,0.4459,0.5431
174,0.5631,0.5537,0.4759,0.5327,0.567,0.6048,0.4505,0.6051,0.565,0.6051,0.4505,0.5464
175,0.5631,0.5537,0.4759,0.5327,0.567,0.6048,0.4505,0.6051,0.565,0.6051,0.4505,0.5464
177,0.5631,0.5537,0.4759,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6098,0.4505,0.547
178,0.5631,0.5537,0.4759,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6098,0.4505,0.547
179,0.5631,0.5537,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6098,0.4505,0.5471
180,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
181,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
182,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
183,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
184,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
185,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
186,0.5631,0.6215,0.477,0.5327,0.567,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5546
187,0.5631,0.6215,0.477,0.5327,0.5685,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5548
188,0.5631,0.6215,0.477,0.5327,0.5685,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5548
189,0.5631,0.6215,0.477,0.5327,0.5685,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5548
190,0.5631,0.6215,0.477,0.5327,0.5685,0.6098,0.4505,0.6051,0.565,0.6215,0.4505,0.5548
191,0.5631,0.6215,0.4805,0.5327,0.5685,0.6098,0.4505,0.6145,0.565,0.6215,0.4505,0.5562
192,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6145,0.5685,0.6215,0.4505,0.5571
193,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
194,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
195,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
196,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
197,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
198,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5685,0.6215,0.4505,0.5572
199,0.5631,0.6215,0.4805,0.5327,0.5724,0.6098,0.4505,0.6157,0.5697,0.6215,0.4505,0.5573
200,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
201,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
202,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
203,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
204,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
206,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
207,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
208,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
209,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
210,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
211,0.5631,0.6215,0.4805,0.5327,0.5724,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5575
212,0.5631,0.6215,0.4805,0.5327,0.5736,0.6114,0.4505,0.6157,0.5697,0.6215,0.4505,0.5576
213,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
214,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
215,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
216,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
217,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
218,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
219,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
220,0.5631,0.6215,0.5444,0.5327,0.5736,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5653
221,0.5631,0.6215,0.5444,0.5327,0.5857,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5666
222,0.5631,0.6215,0.5444,0.5327,0.5857,0.6114,0.4505,0.6207,0.5697,0.6215,0.4505,0.5666
223,0.5631,0.6215,0.5444,0.5327,0.5857,0.6114,0.4505,0.6207,0.6316,0.6316,0.4505,0.5735
224,0.5631,0.6215,0.5444,0.5327,0.5857,0.6114,0.4505,0.6207,0.6316,0.6316,0.4505,0.5735
