timestamp,legacy_ne20001,legacy_ne20009,legacy_ne20004,legacy_ne20003,legacy_ne20005,legacy_ne20006,legacy_ne20007,legacy_ne20008,legacy_ne20000,legacy_ne20002,max,min,avg
168,0.3955,0.4682,0.2773,0.4182,0.4136,0.4136,0.4227,0.4182,0.4091,0.4909,0.4909,0.2773,0.4127
169,0.3955,0.4682,0.2773,0.4182,0.4136,0.4136,0.4227,0.4182,0.4091,0.4909,0.4909,0.2773,0.4127
170,0.3955,0.4682,0.2773,0.4182,0.4136,0.4136,0.4227,0.4227,0.4091,0.4909,0.4909,0.2773,0.4132
171,0.5455,0.4682,0.2773,0.4182,0.4136,0.4136,0.4227,0.4227,0.4091,0.4909,0.5455,0.2773,0.4282
172,0.5455,0.4682,0.2773,0.4182,0.4136,0.4545,0.4227,0.4227,0.4091,0.4864,0.5455,0.2773,0.4318
173,0.5455,0.4682,0.2773,0.4091,0.3864,0.4545,0.4227,0.4227,0.4091,0.4864,0.5455,0.2773,0.4282
174,0.3955,0.4682,0.4909,0.4091,0.3864,0.4545,0.4227,0.2864,0.4091,0.4864,0.4909,0.2864,0.4209
175,0.3955,0.4682,0.3136,0.4091,0.3864,0.4545,0.4227,0.1273,0.4091,0.4864,0.4864,0.1273,0.3873
176,0.3955,0.4682,0.2727,0.4091,0.3864,0.4545,0.4227,0.2864,0.4091,0.4864,0.4864,0.2727,0.3991
177,0.3955,0.4682,0.3,0.4,0.3864,0.4545,0.4227,0.3045,0.4091,0.4864,0.4864,0.3,0.4027
178,0.3955,0.4682,0.3,0.4,0.0364,0.4545,0.4227,0.2318,0.4091,0.4864,0.4864,0.0364,0.3605
179,0.3955,0.4682,0.3455,0.4,0.0364,0.4364,0.4227,0.1136,0.4091,0.4864,0.4864,0.0364,0.3514
180,0.3955,0.4682,0.3045,0.4,0.0364,0.4364,0.4227,0.2773,0.4091,0.4864,0.4864,0.0364,0.3636
181,0.3682,0.4682,0.3045,0.4,0.0364,0.4364,0.4227,0.2773,0.4955,0.4864,0.4955,0.0364,0.3696
182,0.3682,0.4682,0.3045,0.4,0.0364,0.4364,0.3682,0.2773,0.4955,0.4955,0.4955,0.0364,0.365
187,0.3682,0.4682,0.3045,0.4,0.3318,0.4364,0.3682,0.2545,0.4955,0.4818,0.4955,0.2545,0.3909
188,0.3682,0.4682,0.3045,0.4,0.3318,0.4364,0.3682,0.2636,0.4818,0.4818,0.4818,0.2636,0.3904
189,0.3682,0.4682,0.3045,0.4,0.3318,0.4364,0.3682,0.2818,0.4818,0.4818,0.4818,0.2818,0.3923
190,0.3682,0.4682,0.3045,0.3682,0.3318,0.4364,0.3682,0.0364,0.4818,0.4818,0.4818,0.0364,0.3645
191,0.5909,0.4682,0.3045,0.3682,0.3318,0.4364,0.3682,0.0364,0.4818,0.4818,0.5909,0.0364,0.3868
194,0.5909,0.4682,0.3045,0.3682,0.3318,0.4364,0.3682,0.0364,0.4818,0.4409,0.5909,0.0364,0.3827
196,0.5909,0.4682,0.3045,0.3182,0.3318,0.4364,0.3682,0.4773,0.4818,0.4409,0.5909,0.3045,0.4218
198,0.4045,0.4682,0.3045,0.3182,0.3318,0.4364,0.0455,0.4773,0.4818,0.4409,0.4818,0.0455,0.3709
199,0.4045,0.4682,0.3045,0.3182,0.3318,0.4364,0.0455,0.1955,0.4818,0.4409,0.4818,0.0455,0.3427
200,0.4045,0.4682,0.4,0.3182,0.3273,0.4364,0.0455,0.0091,0.4818,0.4409,0.4818,0.0091,0.3332
201,0.3773,0.4682,0.4,0.3182,0.3273,0.4364,0.0455,0.0091,0.4818,0.4409,0.4818,0.0091,0.3305
202,0.3773,0.4682,0.3909,0.3182,0.3273,0.4364,0.0455,0.0091,0.4818,0.1045,0.4818,0.0091,0.2959
203,0.3773,0.4682,0.3909,0.2727,0.3273,0.4364,0.0455,0.0091,0.4818,0.1045,0.4818,0.0091,0.2914
204,0.4591,0.4682,0.3909,0.3045,0.3273,0.4364,0.0455,0.0091,0.4818,0.1045,0.4818,0.0091,0.3027
205,0.4591,0.4682,0.3909,0.3045,0.1727,0.4364,0.0455,0.0091,0.4818,0.1045,0.4818,0.0091,0.2873
206,0.4591,0.4682,0.2409,0.3045,0.1727,0.4364,0.0455,0.0091,0.4818,0.1045,0.4818,0.0091,0.2723
207,0.4591,0.4682,0.3091,0.3045,0.1727,0.4364,0.0455,0.5,0.4818,0.1045,0.5,0.0455,0.3282
208,0.4591,0.0455,0.3091,0.3045,0.1773,0.4364,0.0455,0.2227,0.3727,0.1045,0.4591,0.0455,0.2477
209,0.4591,0.0455,0.3091,0.3045,0.1409,0.4364,0.0455,0.1818,0.2455,0.4636,0.4636,0.0455,0.2632
210,0.4591,0.0455,0.3091,0.3045,0.1409,0.4364,0.0455,0.1773,0.1591,0.4636,0.4636,0.0455,0.2541
211,0.4591,0.2227,0.3091,0.3045,0.4636,0.4364,0.0455,0.1773,0.1591,0.4636,0.4636,0.0455,0.3041
212,0.4591,0.2227,0.3091,0.3045,0.4636,0.0091,0.0091,0.45,0.1591,0.4591,0.4636,0.0091,0.2845
213,0.4591,0.2409,0.3091,0.4591,0.4864,0.0091,0.1545,0.45,0.1591,0.4636,0.4864,0.0091,0.3191
214,0.4591,0.1955,0.2318,0.4591,0.4864,0.0091,0.0091,0.4182,0.1591,0.4636,0.4864,0.0091,0.2891
215,0.4591,0.1955,0.3318,0.4591,0.4864,0.0091,0.0091,0.4136,0.1591,0.4636,0.4864,0.0091,0.2986
216,0.3864,0.1955,0.3318,0.4591,0.4864,0.0091,0.0091,0.2364,0.1591,0.4636,0.4864,0.0091,0.2737
217,0.3864,0.0318,0.3318,0.4591,0.5,0.0091,0.0091,0.1864,0.0091,0.4182,0.5,0.0091,0.2341
218,0.3864,0.2409,0.3318,0.4045,0.5,0.0091,0.0091,0.1864,0.0091,0.4,0.5,0.0091,0.2477
219,0.3864,0.2682,0.3318,0.4045,0.3591,0.0091,0.0091,0.3591,0.0091,0.4,0.4045,0.0091,0.2536
220,0.3864,0.2682,0.3318,0.4045,0.3591,0.4455,0.0091,0.3591,0.0091,0.4,0.4455,0.0091,0.2973
