timestamp,qemu_xhci4,qemu_xhci9,qemu_xhci0,qemu_xhci7,qemu_xhci8,qemu_xhci1,qemu_xhci3,qemu_xhci6,max,min,avg
203,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
204,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
205,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
206,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
207,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
208,0.5652,0.5522,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5522,0.5571
209,0.5652,0.5522,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5522,0.5571
210,0.5652,0.5522,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5522,0.5571
211,0.5652,0.5522,0.562,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5522,0.5572
212,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
214,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
215,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
216,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
217,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
219,0.5652,0.5522,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5522,0.5575
220,0.5652,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5652,0.5543,0.5577
222,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5543,0.5663,0.5543,0.5579
223,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5554,0.5663,0.5543,0.558
224,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5554,0.5663,0.5543,0.558
225,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5554,0.5663,0.5543,0.558
226,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5554,0.5663,0.5543,0.558
227,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5576,0.5663,0.5543,0.5583
228,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5576,0.5663,0.5543,0.5583
229,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5576,0.5663,0.5543,0.5583
230,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5576,0.5663,0.5543,0.5583
231,0.5663,0.5543,0.562,0.5543,0.5543,0.562,0.5554,0.5576,0.5663,0.5543,0.5583
232,0.5685,0.5543,0.563,0.5543,0.5543,0.562,0.5554,0.5576,0.5685,0.5543,0.5587
233,0.5685,0.5543,0.563,0.5565,0.5543,0.562,0.5554,0.5576,0.5685,0.5543,0.559
235,0.5685,0.5543,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5591
236,0.5685,0.5543,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5591
237,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
238,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
239,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
240,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
241,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
242,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
243,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
244,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
246,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5554,0.5576,0.5685,0.5543,0.5594
247,0.5685,0.5565,0.563,0.5565,0.5543,0.563,0.5576,0.5598,0.5685,0.5543,0.5599
248,0.5707,0.5565,0.563,0.5565,0.5543,0.563,0.5576,0.5598,0.5707,0.5543,0.5602
249,0.5707,0.5565,0.563,0.5565,0.5543,0.5652,0.5576,0.5598,0.5707,0.5543,0.5604
250,0.5707,0.5565,0.563,0.5565,0.5543,0.5652,0.5576,0.5609,0.5707,0.5543,0.5606
251,0.5707,0.5565,0.563,0.5565,0.5543,0.5652,0.5576,0.5609,0.5707,0.5543,0.5606
252,0.5707,0.5565,0.563,0.5576,0.5543,0.5652,0.5576,0.5609,0.5707,0.5543,0.5607
253,0.5707,0.5565,0.563,0.5576,0.5543,0.5652,0.5576,0.5609,0.5707,0.5543,0.5607
