timestamp,ohci2,ohci4,ohci1,ohci7,ohci3,ohci8,ohci6,ohci5,ohci9,max,min,avg
192,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
193,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
194,0.7857,0.7216,0.7289,0.7711,0.7399,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7371
195,0.7857,0.7216,0.7289,0.7711,0.7399,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7371
196,0.7857,0.7216,0.7289,0.7711,0.7399,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7371
197,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
198,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
199,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
200,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
201,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
202,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
203,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
204,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
205,0.7857,0.7216,0.7289,0.7711,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7383
206,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
207,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
208,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
209,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
210,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
211,0.7857,0.7216,0.7289,0.7729,0.7399,0.7399,0.7308,0.6648,0.7619,0.7857,0.6648,0.7385
212,0.7857,0.7216,0.7308,0.7729,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7391
213,0.7857,0.7216,0.7308,0.7729,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7391
214,0.7857,0.7216,0.7308,0.7729,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7391
215,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
216,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
217,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
218,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
219,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
220,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
221,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
222,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
223,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
224,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
225,0.7857,0.7216,0.7308,0.7747,0.7399,0.7436,0.7308,0.6648,0.7619,0.7857,0.6648,0.7393
