timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
190,0.4415,0.4672,0.4716,0.641,0.5399,0.4778,0.5514,0.6303,0.5222,0.641,0.4415,0.527
191,0.4415,0.4672,0.4716,0.641,0.5399,0.4778,0.5514,0.6507,0.5222,0.6507,0.4415,0.5293
192,0.4415,0.4672,0.4716,0.641,0.5399,0.4778,0.5514,0.6507,0.5771,0.6507,0.4415,0.5354
193,0.4415,0.4672,0.4716,0.641,0.5399,0.4805,0.5514,0.6534,0.5771,0.6534,0.4415,0.536
194,0.4415,0.4672,0.4716,0.641,0.5399,0.4805,0.5514,0.6534,0.5771,0.6534,0.4415,0.536
195,0.4415,0.4672,0.4716,0.641,0.5399,0.4805,0.5514,0.6587,0.5771,0.6587,0.4415,0.5365
196,0.4415,0.4672,0.4716,0.641,0.5399,0.4805,0.5514,0.6587,0.5771,0.6587,0.4415,0.5365
197,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6587,0.5824,0.6587,0.4415,0.5422
198,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6587,0.5824,0.6587,0.4415,0.5422
199,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6587,0.5824,0.6587,0.4415,0.5422
200,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6587,0.5824,0.6587,0.4415,0.5422
202,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6631,0.5824,0.6631,0.4415,0.5426
203,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6631,0.5842,0.6631,0.4415,0.5428
204,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6631,0.5842,0.6631,0.4415,0.5428
205,0.4415,0.4672,0.4716,0.641,0.5399,0.5257,0.5514,0.6631,0.5842,0.6631,0.4415,0.5428
206,0.4415,0.4672,0.4716,0.641,0.5399,0.5328,0.5514,0.6631,0.5842,0.6631,0.4415,0.5436
207,0.4415,0.4672,0.4716,0.641,0.5399,0.5328,0.5514,0.6631,0.5842,0.6631,0.4415,0.5436
208,0.4415,0.4672,0.4716,0.641,0.5399,0.5363,0.5514,0.6631,0.5842,0.6631,0.4415,0.544
