timestamp,e1000e0,e1000e4,e1000e6,e1000e7,e1000e3,e1000e9,e1000e1,e1000e2,e1000e5,e1000e8,max,min,avg
310,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
311,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
312,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
313,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
321,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
322,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
328,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
329,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3017
334,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
335,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
338,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
340,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
341,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
342,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
346,0.2958,0.2883,0.2267,0.3123,0.2598,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.3018
351,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
353,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
356,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
357,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
363,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
368,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
370,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
372,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
373,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
378,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.458,0.1892,0.3168,0.458,0.1892,0.302
379,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.4595,0.1892,0.3168,0.4595,0.1892,0.3021
380,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.4595,0.1892,0.3168,0.4595,0.1892,0.3021
381,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.4595,0.1892,0.3168,0.4595,0.1892,0.3021
386,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.4625,0.1892,0.3168,0.4625,0.1892,0.3024
390,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3213,0.4625,0.1892,0.3168,0.4625,0.1892,0.3024
