timestamp,i825502,i825500,i825506,i825503,i825509,i825505,i825501,i825507,i825508,i825504,max,min,avg
177,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
178,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8981,0.8843,0.8912,0.8981,0.8796,0.8886
179,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8981,0.8843,0.8912,0.8981,0.8796,0.8886
180,0.8819,0.8958,0.8866,0.8796,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8796,0.8889
181,0.8819,0.8958,0.8866,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8891
182,0.8819,0.8958,0.8866,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8891
183,0.8819,0.8958,0.8866,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8891
184,0.8819,0.8958,0.8866,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8891
185,0.8819,0.8958,0.8866,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8891
186,0.8819,0.8958,0.8889,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8893
187,0.8819,0.8958,0.8889,0.8819,0.8889,0.8958,0.8866,0.8981,0.8843,0.8912,0.8981,0.8819,0.8893
188,0.8819,0.8958,0.8889,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.8898
189,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
190,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
191,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
192,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
193,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
194,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
195,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
196,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
197,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
198,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
199,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
200,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
201,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
202,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8866,0.8981,0.8843,0.8912,0.9005,0.8819,0.89
203,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8889,0.8981,0.8843,0.8912,0.9005,0.8819,0.8903
204,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8889,0.8981,0.8843,0.8912,0.9005,0.8819,0.8903
205,0.8819,0.8958,0.8912,0.8819,0.8889,0.9005,0.8889,0.8981,0.8843,0.8912,0.9005,0.8819,0.8903
206,0.8819,0.8958,0.8912,0.8819,0.8912,0.9005,0.8889,0.8981,0.8843,0.8912,0.9005,0.8819,0.8905
207,0.8819,0.8958,0.8912,0.8819,0.8912,0.9005,0.8889,0.8981,0.8843,0.8912,0.9005,0.8819,0.8905
