timestamp,vmxnet31,vmxnet36,vmxnet37,vmxnet39,vmxnet35,vmxnet30,vmxnet33,vmxnet32,vmxnet38,vmxnet34,max,min,avg
582,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
583,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
584,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
585,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
586,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
587,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
588,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
589,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
590,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
591,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
592,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
593,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
594,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
595,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
596,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
597,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0977,0.0955,0.2045,0.2045,0.0909,0.1273
