timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
12578,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12593,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12601,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12603,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12604,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12620,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12650,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12651,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12657,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12665,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12667,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12676,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12677,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12684,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12686,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12689,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12701,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12704,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12711,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12713,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12719,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12723,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12732,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12741,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12743,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12746,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12753,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12754,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12756,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12760,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12775,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12786,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12805,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12811,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12814,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12825,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12828,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12829,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12832,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12833,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12834,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12840,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12841,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12861,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12871,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12874,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12875,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12876,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12880,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12881,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12883,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12893,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12903,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12909,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12915,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12930,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12933,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12936,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12950,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12953,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
12959,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
12972,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
12986,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
12993,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
12998,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
13006,0.7033,0.6992,0.6911,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6954
13007,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13032,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
