timestamp,legacy_sdhci3,legacy_sdhci9,legacy_sdhci6,legacy_sdhci4,legacy_sdhci7,legacy_sdhci2,legacy_sdhci5,legacy_sdhci8,legacy_sdhci1,legacy_sdhci0,max,min,avg
185,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
186,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
187,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
188,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
189,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
190,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
191,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
193,0.4726,0.4435,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4471
194,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
195,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
196,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
197,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
198,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
199,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
200,0.4726,0.4468,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4474
201,0.4726,0.4484,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4476
202,0.4726,0.4484,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4476
203,0.4726,0.4484,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.3984,0.5129,0.3903,0.4476
204,0.4726,0.4484,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.4032,0.5129,0.3903,0.4481
205,0.4726,0.4484,0.4323,0.4387,0.4548,0.4629,0.5129,0.4645,0.3903,0.4032,0.5129,0.3903,0.4481
206,0.4726,0.4484,0.4323,0.4403,0.4548,0.4629,0.5129,0.4645,0.3903,0.4032,0.5129,0.3903,0.4482
207,0.4726,0.4484,0.4323,0.4403,0.4548,0.4629,0.5129,0.4645,0.3903,0.4032,0.5129,0.3903,0.4482
208,0.4774,0.4484,0.4323,0.4403,0.4548,0.4629,0.5129,0.4645,0.3903,0.4032,0.5129,0.3903,0.4487
211,0.4774,0.4484,0.4323,0.4403,0.4548,0.4661,0.5129,0.4645,0.3903,0.4774,0.5129,0.3903,0.4564
212,0.4774,0.4484,0.4323,0.4403,0.4548,0.4661,0.5129,0.4645,0.3903,0.4774,0.5129,0.3903,0.4564
213,0.4774,0.4484,0.4323,0.4403,0.4548,0.4661,0.5129,0.4645,0.3903,0.4774,0.5129,0.3903,0.4564
