timestamp,pcnet7,pcnet2,pcnet4,pcnet9,pcnet3,pcnet0,pcnet5,pcnet8,pcnet1,pcnet6,max,min,avg
195,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
196,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
197,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
198,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
199,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6683
200,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6683
201,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6683
202,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6683
203,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6683
204,0.6642,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6679,0.6916,0.6569,0.6686
205,0.6642,0.6606,0.6642,0.6916,0.6825,0.6807,0.6606,0.6588,0.6569,0.6679,0.6916,0.6569,0.6688
206,0.6642,0.6606,0.6642,0.6916,0.6825,0.6807,0.6606,0.6588,0.6569,0.6679,0.6916,0.6569,0.6688
207,0.6642,0.6606,0.6642,0.6916,0.6825,0.6807,0.6606,0.6588,0.6569,0.6679,0.6916,0.6569,0.6688
