timestamp,legacy_ee100pro4,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro9,legacy_ee100pro7,legacy_ee100pro3,legacy_ee100pro5,legacy_ee100pro1,legacy_ee100pro8,legacy_ee100pro0,max,min,avg
133,0.4144,0.2685,0.0995,0.3542,0.4097,0.3773,0.3171,0.2338,0.4352,0.1713,0.4352,0.0995,0.3081
135,0.4144,0.2685,0.0995,0.2801,0.4097,0.4954,0.3171,0.1829,0.4352,0.1713,0.4954,0.0995,0.3074
136,0.4144,0.2685,0.0995,0.2801,0.4097,0.4954,0.3171,0.1829,0.4352,0.1713,0.4954,0.0995,0.3074
137,0.3611,0.3287,0.294,0.2801,0.4097,0.4907,0.3171,0.1829,0.4352,0.0116,0.4907,0.0116,0.3111
138,0.3611,0.3287,0.294,0.2778,0.4097,0.4907,0.3171,0.1829,0.4236,0.0116,0.4907,0.0116,0.3097
139,0.3611,0.3287,0.2917,0.2778,0.4097,0.4907,0.3102,0.1829,0.4236,0.0116,0.4907,0.0116,0.3088
140,0.3611,0.3287,0.2917,0.2755,0.4097,0.4884,0.3102,0.1829,0.4236,0.0116,0.4884,0.0116,0.3083
141,0.3611,0.3287,0.2917,0.2755,0.4097,0.4884,0.3102,0.0116,0.4236,0.0116,0.4884,0.0116,0.2912
142,0.3611,0.3287,0.2917,0.2755,0.4051,0.4745,0.3102,0.0116,0.4236,0.0116,0.4745,0.0116,0.2894
143,0.3495,0.3287,0.2824,0.2755,0.4051,0.4745,0.3102,0.0116,0.412,0.0116,0.4745,0.0116,0.2861
144,0.3495,0.3264,0.2824,0.2755,0.4051,0.4745,0.3102,0.0116,0.412,0.3056,0.4745,0.0116,0.3153
145,0.3495,0.3264,0.1505,0.2755,0.4051,0.4745,0.3102,0.0116,0.412,0.3056,0.4745,0.0116,0.3021
147,0.2963,0.3264,0.1505,0.2755,0.4051,0.4745,0.3102,0.2477,0.412,0.3056,0.4745,0.1505,0.3204
148,0.1829,0.3264,0.1505,0.2755,0.0116,0.2616,0.2847,0.2477,0.3958,0.4167,0.4167,0.0116,0.2553
149,0.1829,0.3264,0.1505,0.2755,0.0116,0.2616,0.2847,0.4005,0.3958,0.4167,0.4167,0.0116,0.2706
150,0.1829,0.3264,0.1505,0.2755,0.0116,0.4028,0.2662,0.4514,0.3958,0.4167,0.4514,0.0116,0.288
151,0.1829,0.3264,0.1505,0.2755,0.0116,0.4028,0.2662,0.4514,0.3958,0.4167,0.4514,0.0116,0.288
152,0.1829,0.3264,0.2755,0.2755,0.0116,0.4028,0.2662,0.4514,0.3935,0.4144,0.4514,0.0116,0.3
153,0.3079,0.3264,0.125,0.2755,0.3843,0.3981,0.2662,0.4514,0.0116,0.4144,0.4514,0.0116,0.2961
154,0.3079,0.3264,0.3032,0.2755,0.3843,0.3981,0.2662,0.4514,0.3912,0.4144,0.4514,0.2662,0.3519
155,0.3079,0.3264,0.3032,0.4954,0.3843,0.3866,0.2662,0.4514,0.3912,0.4144,0.4954,0.2662,0.3727
156,0.3079,0.3264,0.1458,0.4954,0.3843,0.3866,0.2662,0.4514,0.3102,0.4144,0.4954,0.1458,0.3489
157,0.3079,0.3264,0.1458,0.4954,0.3843,0.375,0.2662,0.1181,0.2847,0.4144,0.4954,0.1181,0.3118
158,0.3032,0.3264,0.3079,0.4954,0.3843,0.375,0.3125,0.1181,0.2847,0.3958,0.4954,0.1181,0.3303
159,0.3032,0.3264,0.3079,0.4954,0.3843,0.3449,0.3125,0.1181,0.2847,0.3958,0.4954,0.1181,0.3273
160,0.3032,0.3264,0.3079,0.4954,0.3843,0.2454,0.3125,0.1181,0.2847,0.3958,0.4954,0.1181,0.3174
