timestamp,legacy_cs4231a8,legacy_cs4231a7,legacy_cs4231a6,legacy_cs4231a2,legacy_cs4231a1,legacy_cs4231a9,legacy_cs4231a3,legacy_cs4231a0,legacy_cs4231a4,legacy_cs4231a5,max,min,avg
186,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.671
187,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.671
188,0.6377,0.7246,0.7101,0.6884,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6717
189,0.6377,0.7246,0.7101,0.6884,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6717
190,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
191,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
192,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
193,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
194,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
195,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
196,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
197,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
198,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
199,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
200,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6232,0.7246,0.587,0.6725
201,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.587,0.6884,0.7246,0.587,0.679
202,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.6159,0.6884,0.7246,0.6159,0.6819
203,0.6377,0.7246,0.7101,0.6957,0.7174,0.6594,0.7101,0.6594,0.6377,0.6884,0.7246,0.6377,0.684
