timestamp,legacy_ac970,legacy_ac971,legacy_ac975,legacy_ac976,legacy_ac973,legacy_ac972,max,min,avg
263,0.8956,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9036
264,0.8956,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9036
265,0.918,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9073
266,0.918,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9073
268,0.918,0.9093,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9172
271,0.918,0.9093,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9172
272,0.918,0.9063,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9132
274,0.918,0.9063,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9132
275,0.918,0.9063,0.919,0.9288,0.8771,0.9034,0.9288,0.8771,0.9088
276,0.918,0.9063,0.919,0.9288,0.8771,0.8546,0.9288,0.8546,0.9006
277,0.918,0.9063,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9132
280,0.918,0.9063,0.919,0.9288,0.8771,0.9034,0.9288,0.8771,0.9088
281,0.8673,0.9063,0.8059,0.9288,0.8985,0.9298,0.9298,0.8059,0.8894
282,0.8673,0.9063,0.9239,0.9288,0.8985,0.9298,0.9298,0.8673,0.9091
283,0.8673,0.9063,0.8868,0.9034,0.8985,0.9298,0.9298,0.8673,0.8987
284,0.8673,0.9063,0.9239,0.9034,0.8985,0.9298,0.9298,0.8673,0.9049
287,0.8673,0.9063,0.919,0.9288,0.8985,0.9298,0.9298,0.8673,0.9083
288,0.8673,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8673,0.9096
289,0.918,0.9141,0.919,0.9288,0.8985,0.9034,0.9288,0.8985,0.9136
292,0.8956,0.9141,0.8868,0.9034,0.8985,0.9034,0.9141,0.8868,0.9003
295,0.8956,0.9093,0.8868,0.9034,0.8985,0.9034,0.9093,0.8868,0.8995
296,0.8956,0.9093,0.9239,0.9034,0.8985,0.9298,0.9298,0.8956,0.9101
297,0.8956,0.9093,0.9239,0.9034,0.8985,0.9298,0.9298,0.8956,0.9101
298,0.8956,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8956,0.9143
302,0.8956,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8956,0.9143
303,0.8517,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8517,0.907
304,0.8517,0.9093,0.9239,0.8946,0.8985,0.9298,0.9298,0.8517,0.9013
305,0.8517,0.9093,0.9239,0.8946,0.8985,0.9298,0.9298,0.8517,0.9013
306,0.8517,0.9063,0.9239,0.8946,0.8985,0.9298,0.9298,0.8517,0.9008
309,0.918,0.9063,0.9239,0.8946,0.8985,0.9298,0.9298,0.8946,0.9119
310,0.918,0.9063,0.9239,0.8946,0.8263,0.8985,0.9239,0.8263,0.8946
311,0.918,0.9063,0.9239,0.8946,0.8263,0.8985,0.9239,0.8263,0.8946
312,0.918,0.9063,0.9239,0.8946,0.8263,0.8985,0.9239,0.8263,0.8946
313,0.918,0.9063,0.9239,0.8946,0.8263,0.8985,0.9239,0.8263,0.8946
314,0.918,0.9063,0.9239,0.8946,0.8263,0.8985,0.9239,0.8263,0.8946
315,0.918,0.9063,0.9239,0.8946,0.8985,0.8985,0.9239,0.8946,0.9066
316,0.918,0.9063,0.9239,0.8946,0.8985,0.8985,0.9239,0.8946,0.9066
317,0.918,0.9063,0.9239,0.8946,0.8985,0.8985,0.9239,0.8946,0.9066
318,0.918,0.9034,0.9239,0.8946,0.8985,0.8985,0.9239,0.8946,0.9062
320,0.918,0.9034,0.9239,0.8946,0.8985,0.8985,0.9239,0.8946,0.9062
321,0.918,0.9034,0.9239,0.9288,0.8985,0.8985,0.9288,0.8985,0.9119
322,0.918,0.9141,0.9239,0.9288,0.8985,0.8985,0.9288,0.8985,0.9136
323,0.918,0.9141,0.8605,0.9288,0.8985,0.8985,0.9288,0.8605,0.9031
324,0.918,0.9141,0.8605,0.9288,0.8985,0.9298,0.9298,0.8605,0.9083
326,0.918,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9181
327,0.918,0.9093,0.9239,0.9288,0.8615,0.9034,0.9288,0.8615,0.9075
328,0.918,0.9093,0.9239,0.9288,0.8615,0.9034,0.9288,0.8615,0.9075
329,0.918,0.9093,0.9239,0.9288,0.8615,0.9034,0.9288,0.8615,0.9075
330,0.918,0.9093,0.9239,0.9288,0.8771,0.9298,0.9298,0.8771,0.9145
331,0.918,0.9141,0.9239,0.9288,0.7063,0.9298,0.9298,0.7063,0.8868
332,0.918,0.9141,0.919,0.9288,0.7063,0.9298,0.9298,0.7063,0.886
333,0.918,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.918
334,0.918,0.9141,0.9239,0.9288,0.8615,0.9298,0.9298,0.8615,0.9127
335,0.918,0.9141,0.8868,0.9288,0.8615,0.9298,0.9298,0.8615,0.9065
336,0.918,0.9063,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9114
337,0.918,0.9063,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9175
338,0.918,0.9063,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9114
339,0.918,0.9063,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9114
340,0.918,0.9063,0.8868,0.9229,0.8985,0.9298,0.9298,0.8868,0.9104
341,0.918,0.9063,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9114
