timestamp,e1000e5,e1000e2,e1000e9,e1000e3,e1000e0,e1000e4,e1000e1,e1000e6,e1000e8,e1000e7,max,min,avg
178,0.2162,0.2387,0.2538,0.3483,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.282
179,0.2162,0.2402,0.2538,0.3483,0.2387,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2824
180,0.2162,0.2402,0.2538,0.3483,0.2387,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2824
181,0.2162,0.2402,0.2538,0.3483,0.2387,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2824
182,0.2162,0.2402,0.2538,0.3483,0.2387,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2824
183,0.2162,0.3408,0.2538,0.3483,0.2387,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2925
184,0.2162,0.3438,0.2538,0.3498,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2937
185,0.2162,0.3498,0.2538,0.3544,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2947
186,0.2162,0.3754,0.2538,0.3544,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2973
187,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
188,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
189,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
190,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
191,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
192,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
193,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
194,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
195,0.2162,0.3754,0.2538,0.3589,0.2387,0.2973,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2978
196,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
197,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
198,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
199,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
200,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
201,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
202,0.2162,0.3754,0.2538,0.3589,0.2387,0.2988,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2979
203,0.2162,0.3754,0.2538,0.3589,0.2387,0.3018,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2982
204,0.2162,0.3754,0.2538,0.3589,0.2387,0.3018,0.2643,0.2658,0.3468,0.3604,0.3754,0.2162,0.2982
