timestamp,legacy_floppy7,legacy_floppy2,legacy_floppy0,legacy_floppy5,legacy_floppy8,legacy_floppy1,legacy_floppy4,legacy_floppy6,legacy_floppy3,max,min,avg
216,0.4433,0.4555,0.4514,0.4636,0.4028,0.4615,0.4595,0.4777,0.4636,0.4777,0.4028,0.4532
217,0.4494,0.4514,0.4514,0.4636,0.4028,0.4615,0.4595,0.4777,0.4636,0.4777,0.4028,0.4534
218,0.4494,0.4514,0.4514,0.4636,0.4028,0.4615,0.4595,0.4555,0.4636,0.4636,0.4028,0.451
219,0.4514,0.4514,0.4514,0.4636,0.4028,0.4615,0.4595,0.4555,0.4636,0.4636,0.4028,0.4512
220,0.4514,0.4514,0.498,0.4636,0.4028,0.4615,0.4595,0.4555,0.4636,0.498,0.4028,0.4564
221,0.4514,0.4514,0.498,0.4636,0.4028,0.4615,0.4575,0.4555,0.4636,0.498,0.4028,0.4561
222,0.4514,0.4514,0.498,0.4636,0.4028,0.4615,0.4575,0.4676,0.4656,0.498,0.4028,0.4577
223,0.4514,0.413,0.498,0.4636,0.4028,0.4615,0.4575,0.4676,0.4656,0.498,0.4028,0.4534
224,0.4514,0.413,0.498,0.4636,0.4028,0.4615,0.4534,0.4251,0.4656,0.498,0.4028,0.4483
225,0.4514,0.413,0.498,0.4636,0.4028,0.4615,0.4575,0.4251,0.4656,0.498,0.4028,0.4487
