timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
96,0.7951,0.822,0.7829,0.7951,0.7732,0.7707,0.7805,0.8317,0.7829,0.8366,0.8366,0.7707,0.7971
97,0.7951,0.8244,0.7829,0.7951,0.7732,0.7707,0.7805,0.8317,0.7829,0.8366,0.8366,0.7707,0.7973
98,0.7951,0.8244,0.7829,0.7951,0.7732,0.7756,0.7805,0.8317,0.7829,0.8366,0.8366,0.7732,0.7978
99,0.7951,0.8244,0.7878,0.7951,0.7732,0.7902,0.7805,0.8341,0.7829,0.8366,0.8366,0.7732,0.8
100,0.7976,0.8244,0.7878,0.7951,0.7732,0.7902,0.7805,0.8341,0.7829,0.8366,0.8366,0.7732,0.8002
101,0.7976,0.8244,0.7878,0.7951,0.7732,0.7902,0.7805,0.8341,0.7829,0.8366,0.8366,0.7732,0.8002
102,0.8098,0.8244,0.7878,0.7951,0.7732,0.7902,0.7805,0.8415,0.7829,0.839,0.8415,0.7732,0.8024
103,0.8122,0.8244,0.7878,0.7951,0.7732,0.7927,0.7805,0.8415,0.7829,0.839,0.8415,0.7732,0.8029
104,0.8122,0.8244,0.7878,0.8024,0.7732,0.7927,0.7805,0.8415,0.7829,0.839,0.8415,0.7732,0.8037
105,0.8122,0.8244,0.7878,0.8049,0.7732,0.8073,0.7805,0.8415,0.7829,0.839,0.8415,0.7732,0.8054
106,0.8122,0.8244,0.7878,0.8049,0.7732,0.8073,0.7805,0.8415,0.7829,0.839,0.8415,0.7732,0.8054
107,0.8146,0.8244,0.7878,0.8049,0.7805,0.8073,0.7805,0.8415,0.7829,0.839,0.8415,0.7805,0.8063
108,0.8146,0.8268,0.7878,0.8049,0.7805,0.8073,0.7805,0.8415,0.7878,0.839,0.8415,0.7805,0.8071
109,0.8146,0.8268,0.7927,0.8049,0.7805,0.8073,0.7805,0.8415,0.7902,0.839,0.8415,0.7805,0.8078
110,0.8146,0.8268,0.7951,0.8049,0.7805,0.8073,0.7805,0.8415,0.7902,0.839,0.8415,0.7805,0.808
111,0.8146,0.8268,0.8024,0.8049,0.7805,0.8073,0.7829,0.8415,0.7927,0.839,0.8415,0.7805,0.8093
112,0.8146,0.8268,0.8024,0.8049,0.7805,0.8073,0.7829,0.8415,0.7927,0.839,0.8415,0.7805,0.8093
113,0.8146,0.8268,0.8024,0.8098,0.7805,0.8073,0.7854,0.8415,0.7927,0.839,0.8415,0.7805,0.81
114,0.8146,0.8293,0.8024,0.8098,0.7805,0.8098,0.7854,0.8415,0.7927,0.839,0.8415,0.7805,0.8105
115,0.8146,0.8293,0.8024,0.8098,0.7805,0.8098,0.7854,0.8415,0.7927,0.839,0.8415,0.7805,0.8105
116,0.8146,0.8293,0.8024,0.8098,0.7805,0.8098,0.7854,0.8415,0.7927,0.839,0.8415,0.7805,0.8105
