timestamp,legacy_xhci2,legacy_xhci6,legacy_xhci5,legacy_xhci1,legacy_xhci7,legacy_xhci0,legacy_xhci9,legacy_xhci8,legacy_xhci4,max,min,avg
1969,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1970,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1973,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1976,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1977,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1982,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1983,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1984,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1985,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1986,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1989,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1990,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1991,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1992,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1993,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1994,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1996,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1997,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.5739,0.575,0.5674,0.5716
1999,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.5739,0.575,0.5674,0.5716
2001,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.5739,0.575,0.5674,0.5716
2003,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.575,0.575,0.5674,0.5717
2005,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.575,0.575,0.5674,0.5717
2006,0.5685,0.5739,0.5707,0.5685,0.5739,0.5728,0.575,0.5674,0.575,0.575,0.5674,0.5717
