timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
211,0.1568,0.3432,0.2386,0.1136,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1136,0.215
212,0.1568,0.3432,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3432,0.1136,0.2173
213,0.1568,0.3432,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3432,0.1136,0.2173
214,0.1568,0.3432,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3432,0.1136,0.2173
215,0.1568,0.3455,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1136,0.2175
216,0.1568,0.3455,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1136,0.2175
217,0.1568,0.3455,0.2386,0.1136,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1136,0.2175
218,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
219,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
220,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
221,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
222,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
223,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
224,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
225,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.2205,0.2455,0.2273,0.3455,0.1205,0.2182
226,0.1568,0.3455,0.2386,0.1205,0.1568,0.1614,0.3091,0.225,0.2455,0.2273,0.3455,0.1205,0.2187
227,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3091,0.225,0.2455,0.2273,0.3455,0.1205,0.2189
228,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3091,0.225,0.2477,0.2273,0.3455,0.1205,0.2191
229,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3091,0.225,0.2477,0.2273,0.3455,0.1205,0.2191
230,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3091,0.225,0.2477,0.2273,0.3455,0.1205,0.2191
231,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3091,0.225,0.2477,0.2273,0.3455,0.1205,0.2191
232,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.225,0.2477,0.2295,0.3455,0.1205,0.2198
233,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.225,0.2477,0.2295,0.3455,0.1205,0.2198
234,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.225,0.2477,0.2295,0.3455,0.1205,0.2198
235,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.225,0.2477,0.2295,0.3455,0.1205,0.2198
236,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.2273,0.2477,0.2295,0.3455,0.1205,0.22
237,0.1568,0.3455,0.2386,0.1205,0.1568,0.1636,0.3136,0.2273,0.2477,0.2295,0.3455,0.1205,0.22
238,0.1568,0.3477,0.2386,0.1205,0.1568,0.1636,0.3136,0.2273,0.2477,0.2295,0.3477,0.1205,0.2202
239,0.1568,0.3477,0.2386,0.1205,0.1568,0.1636,0.3136,0.2273,0.2477,0.2295,0.3477,0.1205,0.2202
240,0.1568,0.3477,0.2386,0.1205,0.1568,0.1636,0.3136,0.2273,0.2477,0.2295,0.3477,0.1205,0.2202
241,0.1568,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.2243
242,0.1568,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.2243
243,0.1568,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.2243
244,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.228
245,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.228
246,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.228
247,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2273,0.25,0.2295,0.3477,0.1205,0.228
248,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2295,0.25,0.2295,0.3477,0.1205,0.2282
249,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2295,0.25,0.2295,0.3477,0.1205,0.2282
250,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2295,0.25,0.2295,0.3477,0.1205,0.2282
251,0.1932,0.3477,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.3477,0.1205,0.2286
252,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
