timestamp,megasas5,megasas3,megasas0,megasas6,megasas2,megasas8,megasas4,megasas1,megasas7,megasas9,max,min,avg
180,0.5987,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6166
181,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
182,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
183,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
184,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
185,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
186,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.617
187,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6183
188,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6183
189,0.5987,0.6134,0.6176,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6183
190,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
191,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
192,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
193,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
194,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
195,0.5987,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6185
196,0.6155,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6155,0.6155,0.6597,0.5777,0.6202
197,0.6155,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6204
198,0.6176,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6206
199,0.6176,0.6134,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6206
200,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
201,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
202,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
203,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
204,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
205,0.6176,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.621
206,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6214
207,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6214
208,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5777,0.6176,0.6155,0.6597,0.5777,0.6214
209,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6282,0.5798,0.6176,0.6155,0.6597,0.5798,0.6216
210,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6218
211,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6218
212,0.6218,0.6176,0.6197,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6218
213,0.6218,0.6176,0.6239,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6223
214,0.6218,0.6176,0.6239,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6223
215,0.6218,0.6176,0.6239,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6223
216,0.6218,0.6176,0.6239,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6223
217,0.6218,0.6176,0.6408,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.624
218,0.6218,0.6176,0.6408,0.6282,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.624
219,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6242
220,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6155,0.6597,0.5798,0.6242
221,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6197,0.6597,0.5798,0.6246
222,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6218,0.6597,0.5798,0.6248
223,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6239,0.6597,0.5798,0.625
224,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6239,0.6597,0.5798,0.625
225,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5798,0.6176,0.6239,0.6597,0.5798,0.625
226,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5966,0.6176,0.6239,0.6597,0.5966,0.6267
227,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6303,0.5966,0.6176,0.6239,0.6597,0.5966,0.6267
228,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6324,0.5966,0.6176,0.6239,0.6597,0.5966,0.6269
229,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6387,0.5966,0.6176,0.6239,0.6597,0.5966,0.6275
230,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6239,0.6597,0.5966,0.6277
231,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6239,0.6597,0.5966,0.6277
232,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6239,0.6597,0.5966,0.6277
233,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6282,0.6597,0.5966,0.6282
234,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6282,0.6597,0.5966,0.6282
235,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6408,0.5966,0.6176,0.6282,0.6597,0.5966,0.6282
236,0.6218,0.6176,0.6408,0.6303,0.6282,0.6597,0.6429,0.5966,0.6176,0.6282,0.6597,0.5966,0.6284
237,0.6218,0.6176,0.6429,0.6303,0.6282,0.6597,0.6429,0.5966,0.6197,0.6282,0.6597,0.5966,0.6288
238,0.6218,0.6176,0.6429,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6282,0.6597,0.5966,0.6296
239,0.6218,0.6176,0.6429,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6282,0.6597,0.5966,0.6296
240,0.6218,0.6176,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6282,0.6597,0.5966,0.6298
241,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6345,0.6597,0.5966,0.6309
242,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6345,0.6597,0.5966,0.6309
243,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6345,0.6597,0.5966,0.6309
244,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6282,0.6345,0.6597,0.5966,0.6309
245,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6303,0.6345,0.6597,0.5966,0.6311
246,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6303,0.6366,0.6597,0.5966,0.6313
247,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6303,0.6366,0.6597,0.5966,0.6313
248,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6324,0.6366,0.6597,0.5966,0.6315
249,0.6218,0.6218,0.645,0.6303,0.6282,0.6597,0.6429,0.5966,0.6324,0.6366,0.6597,0.5966,0.6315
