timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
118,0.3623,0.4928,0.3913,0.4928,0.4275,0.413,0.3261,0.471,0.558,0.558,0.3261,0.4372
119,0.3623,0.4928,0.3913,0.4928,0.4638,0.413,0.3261,0.4928,0.558,0.558,0.3261,0.4437
120,0.5217,0.4928,0.3913,0.4928,0.4638,0.5072,0.3261,0.5072,0.558,0.558,0.3261,0.4734
121,0.4928,0.4928,0.3913,0.4638,0.4638,0.4783,0.3261,0.5072,0.5145,0.5145,0.3261,0.459
122,0.4928,0.5507,0.3913,0.471,0.4638,0.5,0.3261,0.442,0.5145,0.5507,0.3261,0.4614
123,0.4928,0.4275,0.3913,0.3406,0.4565,0.3696,0.5797,0.442,0.5145,0.5797,0.3406,0.4461
124,0.4928,0.4275,0.5,0.413,0.4058,0.3768,0.5797,0.442,0.5145,0.5797,0.3768,0.4613
125,0.4275,0.3913,0.5,0.413,0.3551,0.3768,0.5797,0.4928,0.5145,0.5797,0.3551,0.4501
126,0.4565,0.3551,0.3913,0.442,0.413,0.1957,0.5797,0.4928,0.5072,0.5797,0.1957,0.4259
127,0.4565,0.413,0.3913,0.442,0.413,0.2246,0.5797,0.4928,0.5072,0.5797,0.2246,0.4356
128,0.4855,0.4638,0.3913,0.5072,0.413,0.4275,0.5797,0.4928,0.5072,0.5797,0.3913,0.4742
129,0.5,0.4638,0.3913,0.5072,0.413,0.4275,0.5797,0.4928,0.5072,0.5797,0.3913,0.4758
130,0.3986,0.4058,0.3261,0.5072,0.413,0.4275,0.5797,0.4928,0.5072,0.5797,0.3261,0.4509
131,0.4203,0.4855,0.3261,0.5072,0.413,0.4275,0.5797,0.5145,0.5072,0.5797,0.3261,0.4646
132,0.2609,0.4855,0.2971,0.5072,0.413,0.413,0.5507,0.5145,0.5072,0.5507,0.2609,0.4388
133,0.2319,0.4855,0.2971,0.5072,0.3261,0.413,0.5507,0.5145,0.5072,0.5507,0.2319,0.4259
134,0.4203,0.4855,0.2971,0.5,0.3261,0.413,0.5507,0.5145,0.5072,0.5507,0.2971,0.446
135,0.4203,0.4855,0.2971,0.5,0.3261,0.413,0.5507,0.5145,0.5072,0.5507,0.2971,0.446
136,0.4203,0.4855,0.2971,0.0,0.3261,0.413,0.5507,0.4928,0.5072,0.5507,0.2971,0.3881
137,0.3261,0.4855,0.2971,0.3261,0.3261,0.413,0.5507,0.4928,0.5072,0.5507,0.2971,0.4138
138,0.4928,0.6449,0.2971,0.4275,0.3261,0.5362,0.5507,0.4928,0.5072,0.6449,0.2971,0.475
139,0.4058,0.6449,0.2971,0.4348,0.5942,0.3623,0.5507,0.4928,0.5072,0.6449,0.2971,0.4766
140,0.471,0.4275,0.2971,0.3406,0.4493,0.3623,0.5507,0.4928,0.5072,0.5507,0.2971,0.4332
141,0.4928,0.4275,0.5435,0.3116,0.4493,0.3623,0.5507,0.4928,0.5072,0.5507,0.3116,0.4597
142,0.4783,0.4275,0.5435,0.3116,0.4493,0.3623,0.5507,0.4928,0.5072,0.5507,0.3116,0.4581
143,0.4783,0.4275,0.5435,0.3116,0.4493,0.3623,0.413,0.4928,0.5072,0.5435,0.3116,0.4428
144,0.5072,0.4275,0.5435,0.3116,0.4493,0.471,0.413,0.4928,0.5072,0.5435,0.3116,0.4581
145,0.5072,0.4275,0.5435,0.3116,0.4493,0.471,0.413,0.4928,0.5072,0.5435,0.3116,0.4581
146,0.5797,0.4275,0.5435,0.3116,0.4493,0.471,0.413,0.4928,0.5072,0.5797,0.3116,0.4662
147,0.5797,0.4275,0.5435,0.3116,0.4493,0.471,0.413,0.5,0.5072,0.5797,0.3116,0.467
148,0.5797,0.4275,0.5435,0.6594,0.4493,0.471,0.413,0.4783,0.5072,0.6594,0.413,0.5032
149,0.5797,0.5145,0.5435,0.3188,0.4493,0.471,0.3986,0.0,0.5072,0.5797,0.3188,0.4203
150,0.5797,0.3333,0.5435,0.413,0.4493,0.471,0.3986,0.0,0.5072,0.5797,0.3333,0.4106
151,0.5797,0.5145,0.5507,0.3696,0.4783,0.471,0.3986,0.4928,0.5072,0.5797,0.3696,0.4847
152,0.5797,0.5145,0.5507,0.3696,0.2246,0.3043,0.3986,0.4783,0.5072,0.5797,0.2246,0.4364
153,0.5942,0.5145,0.5507,0.3623,0.2246,0.3043,0.3986,0.4783,0.5,0.5942,0.2246,0.4364
154,0.3406,0.5145,0.5507,0.3623,0.2246,0.3043,0.413,0.4783,0.5,0.5507,0.2246,0.4098
155,0.3406,0.5145,0.5507,0.3623,0.2246,0.5072,0.413,0.4783,0.5,0.5507,0.2246,0.4324
156,0.3406,0.6087,0.5507,0.3623,0.2246,0.5072,0.413,0.4783,0.5,0.6087,0.2246,0.4428
157,0.3406,0.6087,0.5507,0.3623,0.2246,0.5,0.3986,0.4783,0.5,0.6087,0.2246,0.4404
158,0.3406,0.6087,0.5507,0.3623,0.6812,0.5,0.3986,0.4783,0.5,0.6812,0.3406,0.4912
159,0.5145,0.6087,0.5145,0.529,0.3188,0.5,0.3986,0.4783,0.5,0.6087,0.3188,0.4847
160,0.471,0.6087,0.5145,0.529,0.3188,0.5,0.3551,0.4783,0.5,0.6087,0.3188,0.475
161,0.471,0.6087,0.5145,0.529,0.3188,0.5,0.0,0.4783,0.5,0.6087,0.3188,0.4356
162,0.471,0.6087,0.5145,0.529,0.3188,0.5,0.4275,0.4783,0.5,0.6087,0.3188,0.4831
163,0.5217,0.6087,0.5145,0.529,0.3188,0.6232,0.5217,0.4493,0.5,0.6232,0.3188,0.5097
164,0.5217,0.6087,0.4928,0.529,0.3188,0.6232,0.4275,0.4493,0.5,0.6232,0.3188,0.4968
165,0.5217,0.6087,0.4928,0.5072,0.3188,0.6232,0.4275,0.4348,0.5,0.6232,0.3188,0.4927
166,0.5217,0.5725,0.4928,0.5072,0.6159,0.6232,0.5,0.4348,0.5,0.6232,0.4348,0.5298
167,0.5,0.5725,0.4928,0.5072,0.6159,0.6232,0.5072,0.4348,0.5,0.6232,0.4348,0.5282
168,0.4203,0.5725,0.4928,0.5072,0.6159,0.6232,0.5072,0.4348,0.5,0.6232,0.4203,0.5193
169,0.4203,0.5725,0.4928,0.5072,0.6159,0.6232,0.4348,0.2246,0.5,0.6232,0.2246,0.4879
