timestamp,legacy_ac971,legacy_ac972,legacy_ac979,legacy_ac977,legacy_ac973,legacy_ac970,legacy_ac976,legacy_ac978,legacy_ac975,legacy_ac974,max,min,avg
180,0.5164,0.1749,0.5437,0.5492,0.4071,0.6612,0.4699,0.4973,0.0,0.2432,0.6612,0.1749,0.4063
181,0.5164,0.1749,0.5437,0.4727,0.4071,0.6612,0.4699,0.4973,0.0,0.2432,0.6612,0.1749,0.3986
182,0.388,0.1749,0.5437,0.4727,0.4071,0.6612,0.4699,0.4973,0.0,0.2432,0.6612,0.1749,0.3858
183,0.388,0.6175,0.5574,0.4727,0.5383,0.6612,0.4672,0.4973,0.0,0.5464,0.6612,0.388,0.4746
184,0.4781,0.6175,0.5574,0.4727,0.4399,0.5546,0.4672,0.4863,0.0,0.5464,0.6175,0.4399,0.462
186,0.429,0.6175,0.5574,0.4727,0.3934,0.5546,0.4672,0.4863,0.0,0.5464,0.6175,0.3934,0.4525
187,0.429,0.6175,0.5574,0.4727,0.377,0.5546,0.4672,0.4863,0.0,0.5464,0.6175,0.377,0.4508
188,0.388,0.6175,0.5574,0.4727,0.377,0.5546,0.4672,0.1667,0.0,0.5464,0.6175,0.1667,0.4148
189,0.388,0.6175,0.5574,0.4727,0.377,0.5546,0.4672,0.3634,0.0,0.5464,0.6175,0.3634,0.4344
190,0.4153,0.6175,0.5574,0.1448,0.347,0.6749,0.4672,0.3634,0.0,0.3962,0.6749,0.1448,0.3984
191,0.4153,0.6175,0.5574,0.1448,0.347,0.6749,0.4672,0.5464,0.0,0.3962,0.6749,0.1448,0.4167
192,0.4426,0.6175,0.5546,0.1448,0.347,0.6749,0.4645,0.5464,0.0,0.3962,0.6749,0.1448,0.4189
193,0.4426,0.6175,0.5546,0.1448,0.347,0.6749,0.4645,0.5464,0.0,0.3962,0.6749,0.1448,0.4189
194,0.4426,0.6175,0.5546,0.5574,0.347,0.4426,0.4672,0.5464,0.0,0.3962,0.6175,0.347,0.4372
195,0.4426,0.6175,0.5546,0.5574,0.347,0.4699,0.4672,0.5464,0.0,0.3962,0.6175,0.347,0.4399
196,0.5,0.6038,0.5546,0.5574,0.4809,0.4699,0.4672,0.5464,0.0,0.3962,0.6038,0.3962,0.4576
197,0.5,0.6038,0.5546,0.5574,0.4809,0.5164,0.4672,0.1967,0.0,0.3962,0.6038,0.1967,0.4273
198,0.4836,0.6038,0.5546,0.5574,0.4809,0.1503,0.4672,0.1557,0.0,0.3962,0.6038,0.1503,0.385
199,0.4836,0.6011,0.5546,0.4672,0.4809,0.4863,0.4563,0.224,0.0,0.3962,0.6011,0.224,0.415
200,0.1694,0.6011,0.5546,0.4672,0.4809,0.5301,0.4563,0.3743,0.0,0.0,0.6011,0.1694,0.3634
201,0.4891,0.6011,0.5546,0.4672,0.3743,0.4699,0.4563,0.4645,0.0,0.2104,0.6011,0.2104,0.4087
202,0.4891,0.6011,0.5519,0.4672,0.3962,0.4699,0.4563,0.3798,0.0,0.429,0.6011,0.3798,0.424
203,0.4508,0.6011,0.5519,0.4672,0.4481,0.5519,0.4563,0.3798,0.0,0.429,0.6011,0.3798,0.4336
204,0.4508,0.6011,0.5519,0.4672,0.3388,0.5519,0.418,0.3798,0.0,0.5109,0.6011,0.3388,0.427
205,0.4508,0.5601,0.5519,0.5055,0.3388,0.5437,0.418,0.1093,0.0,0.5109,0.5601,0.1093,0.3989
206,0.4508,0.5601,0.5519,0.5055,0.3388,0.5492,0.418,0.3852,0.0,0.5109,0.5601,0.3388,0.427
207,0.4508,0.5601,0.5519,0.5055,0.3388,0.5,0.418,0.388,0.0,0.5109,0.5601,0.3388,0.4224
208,0.4508,0.5601,0.5519,0.5055,0.3388,0.4645,0.418,0.5027,0.0,0.5847,0.5847,0.3388,0.4377
209,0.6175,0.5601,0.5519,0.5055,0.4235,0.5301,0.418,0.5027,0.0,0.5847,0.6175,0.418,0.4694
210,0.5273,0.5601,0.5519,0.5055,0.4235,0.4781,0.4891,0.4536,0.0,0.5847,0.5847,0.4235,0.4574
211,0.5273,0.5601,0.5519,0.5055,0.2514,0.4781,0.4891,0.4536,0.0,0.5574,0.5601,0.2514,0.4374
