timestamp,legacy_intel_hda5,legacy_intel_hda1,legacy_intel_hda0,legacy_intel_hda9,legacy_intel_hda2,legacy_intel_hda3,legacy_intel_hda8,legacy_intel_hda4,legacy_intel_hda7,legacy_intel_hda6,max,min,avg
215,0.3478,0.4,0.3391,0.213,0.5739,0.2652,0.2348,0.2826,0.3261,0.3391,0.5739,0.213,0.3322
216,0.3478,0.4,0.3391,0.213,0.5739,0.2652,0.2348,0.2826,0.3261,0.3391,0.5739,0.213,0.3322
217,0.3478,0.4,0.3391,0.213,0.5739,0.3696,0.2348,0.2826,0.3261,0.3391,0.5739,0.213,0.3426
219,0.3478,0.287,0.3391,0.213,0.2957,0.2652,0.2348,0.2826,0.3261,0.3391,0.3478,0.213,0.293
220,0.3478,0.287,0.3391,0.213,0.2957,0.2652,0.2348,0.2826,0.2609,0.3391,0.3478,0.213,0.2865
221,0.3478,0.287,0.3391,0.3174,0.2957,0.3261,0.2348,0.2826,0.2609,0.3391,0.3478,0.2348,0.3031
222,0.3478,0.3043,0.3391,0.3174,0.2957,0.3261,0.2348,0.2826,0.2609,0.3391,0.3478,0.2348,0.3048
223,0.3478,0.3043,0.3391,0.3174,0.2957,0.3261,0.2348,0.2565,0.2609,0.3391,0.3478,0.2348,0.3022
224,0.3565,0.3043,0.3391,0.3174,0.2957,0.3261,0.2348,0.2565,0.2609,0.3391,0.3565,0.2348,0.303
225,0.3565,0.3043,0.3391,0.3174,0.2957,0.3261,0.2348,0.3304,0.2609,0.3391,0.3565,0.2348,0.3104
227,0.3565,0.3043,0.3391,0.3522,0.2957,0.3261,0.2348,0.3304,0.2609,0.413,0.413,0.2348,0.3213
228,0.3565,0.3043,0.3391,0.3522,0.2957,0.3261,0.2348,0.3217,0.2609,0.413,0.413,0.2348,0.3204
229,0.3565,0.313,0.3391,0.3522,0.2957,0.3261,0.2348,0.3217,0.2609,0.413,0.413,0.2348,0.3213
