timestamp,rtl81399,rtl81390,rtl81393,rtl81397,rtl81398,rtl81392,rtl81394,rtl81395,rtl81391,rtl81396,max,min,avg
162,0.7192,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7384
163,0.7192,0.7482,0.7373,0.7355,0.7337,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7399
164,0.7192,0.7482,0.7373,0.7355,0.7355,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.74
165,0.7192,0.7482,0.7373,0.7355,0.7355,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.74
166,0.7192,0.7482,0.7373,0.7355,0.7355,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.74
167,0.7192,0.7482,0.7373,0.7355,0.7355,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.74
168,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
169,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
170,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
171,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
172,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
173,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
174,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
175,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
176,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
177,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
178,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
179,0.7192,0.7482,0.7373,0.7355,0.7391,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7404
180,0.7192,0.7482,0.7373,0.7355,0.7428,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7408
181,0.7192,0.7482,0.7373,0.7355,0.7428,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7408
182,0.7192,0.7482,0.7373,0.7355,0.7428,0.7518,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7409
183,0.7192,0.7482,0.7373,0.7355,0.7428,0.7518,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7409
184,0.7192,0.7482,0.7373,0.7355,0.7446,0.7518,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7411
185,0.7192,0.7482,0.7373,0.7355,0.7446,0.7518,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7411
186,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
187,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
188,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
189,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
190,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
191,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
192,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
193,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
194,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
195,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
196,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
197,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
198,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
199,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
200,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
201,0.7192,0.7482,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7413
202,0.7192,0.75,0.7373,0.7355,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7415
203,0.7192,0.75,0.7373,0.7373,0.7446,0.7536,0.7536,0.7536,0.7518,0.7156,0.7536,0.7156,0.7417
204,0.7192,0.75,0.7373,0.7373,0.7446,0.7536,0.7536,0.7536,0.7518,0.7174,0.7536,0.7174,0.7418
205,0.7192,0.75,0.7373,0.7373,0.7446,0.7536,0.7536,0.7536,0.7518,0.7174,0.7536,0.7174,0.7418
206,0.7192,0.75,0.7373,0.7373,0.7464,0.7536,0.7536,0.7536,0.7518,0.7174,0.7536,0.7174,0.742
207,0.7192,0.75,0.7373,0.7373,0.7464,0.7536,0.7536,0.7536,0.7518,0.7174,0.7536,0.7174,0.742
