timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
145,0.4307,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3903
146,0.4307,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3903
147,0.4307,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3903
148,0.4307,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3903
149,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3907
150,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3907
151,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3907
152,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4307,0.3741,0.3907
153,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.3887,0.3796,0.396,0.4307,0.3741,0.3911
154,0.4307,0.3996,0.3832,0.3796,0.3741,0.3887,0.3887,0.3832,0.396,0.4307,0.3741,0.3915
155,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3832,0.396,0.4307,0.3741,0.3936
156,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3832,0.396,0.4307,0.3741,0.3936
157,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3832,0.396,0.4307,0.3741,0.3936
158,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3832,0.396,0.4307,0.3741,0.3936
159,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3832,0.396,0.4307,0.3741,0.3936
160,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
161,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
162,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
163,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
164,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
165,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
166,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
167,0.4307,0.3996,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.394
168,0.4307,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.3944
169,0.4307,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.3944
170,0.4307,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.3944
171,0.4307,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.3944
172,0.4307,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4307,0.3741,0.3944
173,0.4325,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4325,0.3741,0.3946
174,0.4325,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4325,0.3741,0.3946
175,0.4325,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4325,0.3741,0.3946
176,0.4325,0.4033,0.3832,0.3796,0.3741,0.4069,0.3887,0.3869,0.396,0.4325,0.3741,0.3946
177,0.4325,0.4033,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.3956
178,0.4325,0.4033,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.3956
