timestamp,legacy_ee100pro4,legacy_ee100pro3,legacy_ee100pro6,legacy_ee100pro7,legacy_ee100pro0,legacy_ee100pro9,legacy_ee100pro2,legacy_ee100pro5,max,min,avg
224,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5344
225,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5344
226,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5346
227,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5346
228,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5352
229,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5352
230,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5352
231,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5352
232,0.4739,0.6232,0.6855,0.4415,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5352
233,0.4739,0.6232,0.6855,0.4448,0.3461,0.4846,0.6564,0.5701,0.6855,0.3461,0.5356
235,0.4739,0.6232,0.6855,0.4448,0.4855,0.4846,0.6564,0.5701,0.6855,0.4448,0.553
236,0.4739,0.6232,0.6855,0.4448,0.4855,0.4846,0.6564,0.5701,0.6855,0.4448,0.553
238,0.4739,0.6232,0.6855,0.4448,0.4855,0.5112,0.6564,0.5701,0.6855,0.4448,0.5563
240,0.4739,0.6232,0.6855,0.4448,0.4855,0.5112,0.6564,0.5701,0.6855,0.4448,0.5563
241,0.4739,0.6232,0.6855,0.4448,0.4855,0.5112,0.6564,0.5701,0.6855,0.4448,0.5563
242,0.4739,0.6232,0.6855,0.4448,0.4855,0.5112,0.6564,0.5701,0.6855,0.4448,0.5563
243,0.4739,0.6232,0.6855,0.4448,0.4855,0.5112,0.6564,0.5701,0.6855,0.4448,0.5563
244,0.4739,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5595
245,0.4739,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5595
246,0.4739,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5595
247,0.4739,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5595
248,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5767
249,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5767
251,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5767
252,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5767
253,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.6647,0.5701,0.6855,0.4622,0.5767
254,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5772
255,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5772
256,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5772
257,0.6116,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5772
258,0.6199,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5782
259,0.6199,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5782
260,0.6199,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5782
261,0.6199,0.6232,0.6855,0.4622,0.4855,0.5112,0.668,0.5701,0.6855,0.4622,0.5782
262,0.6199,0.6232,0.6855,0.4672,0.4855,0.5112,0.668,0.5701,0.6855,0.4672,0.5788
264,0.6199,0.6232,0.6855,0.4763,0.4855,0.5112,0.668,0.5701,0.6855,0.4763,0.58
265,0.6199,0.6232,0.6855,0.4763,0.4855,0.6249,0.668,0.5701,0.6855,0.4763,0.5942
