timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
147,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4704
148,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4704
149,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4704
151,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5609,0.3652,0.5609,0.3478,0.4717
152,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5609,0.3652,0.5609,0.3478,0.4717
153,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5609,0.3652,0.5609,0.3478,0.4717
155,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5609,0.3652,0.5609,0.3478,0.4717
156,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5304,0.5609,0.3652,0.5609,0.3478,0.4722
157,0.5174,0.4435,0.4696,0.5087,0.5565,0.3478,0.4348,0.5304,0.5609,0.3652,0.5609,0.3478,0.4735
158,0.5174,0.4435,0.4826,0.5087,0.5565,0.3478,0.4348,0.5304,0.5609,0.3652,0.5609,0.3478,0.4748
159,0.5174,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.477
160,0.5174,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.477
161,0.5174,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.477
162,0.5174,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.477
163,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
164,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
165,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
166,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
167,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
168,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
169,0.5261,0.4435,0.4826,0.5174,0.5565,0.3609,0.4348,0.5304,0.5609,0.3652,0.5609,0.3609,0.4778
170,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5304,0.5609,0.3652,0.5609,0.3652,0.4783
171,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5304,0.5609,0.3652,0.5609,0.3652,0.4783
172,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5304,0.5609,0.3652,0.5609,0.3652,0.4783
173,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5304,0.5609,0.3652,0.5609,0.3652,0.4783
174,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5304,0.5609,0.3652,0.5609,0.3652,0.4783
175,0.5261,0.4435,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3652,0.5609,0.3652,0.48
176,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3652,0.587,0.3652,0.4944
177,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3652,0.587,0.3652,0.4944
178,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3652,0.587,0.3652,0.4944
