timestamp,i825503,i825500,i825505,i825507,i825504,i825506,i825501,i825509,i825502,i825508,max,min,avg
182,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5093,0.3866,0.4815,0.4259,0.5093,0.3843,0.4424
183,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5093,0.3866,0.4838,0.4259,0.5093,0.3843,0.4426
184,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5093,0.3866,0.4838,0.4259,0.5093,0.3843,0.4426
185,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3843,0.4431
186,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3843,0.4431
187,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3843,0.4431
188,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3843,0.4431
189,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
190,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
191,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
192,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
193,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
194,0.4745,0.4421,0.3866,0.3958,0.4838,0.4398,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4433
195,0.4745,0.4421,0.3866,0.3958,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4437
196,0.4745,0.4421,0.3866,0.3958,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4437
197,0.4745,0.4421,0.3866,0.4028,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4444
198,0.4745,0.4421,0.3866,0.4028,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4444
199,0.4745,0.4421,0.3866,0.4028,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4444
200,0.4745,0.4421,0.3866,0.4028,0.4838,0.4444,0.5139,0.3866,0.4838,0.4259,0.5139,0.3866,0.4444
201,0.4769,0.4468,0.3866,0.4028,0.4838,0.4444,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4454
202,0.4769,0.4468,0.3866,0.4051,0.4838,0.4444,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4456
203,0.4769,0.4468,0.3866,0.4051,0.4838,0.4444,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4456
204,0.4769,0.4468,0.3866,0.4051,0.4838,0.4444,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4456
205,0.4907,0.4468,0.3889,0.4051,0.4838,0.4468,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4475
206,0.4907,0.4468,0.3889,0.4051,0.4838,0.4468,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4475
207,0.4907,0.4468,0.3889,0.4074,0.4838,0.4468,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4477
208,0.4907,0.4468,0.3889,0.4074,0.4838,0.4468,0.5139,0.3866,0.4861,0.4259,0.5139,0.3866,0.4477
209,0.4907,0.4468,0.3889,0.4074,0.4838,0.4468,0.5139,0.3889,0.4861,0.4282,0.5139,0.3889,0.4482
